システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,10,172,91
3049,13,32,53,6753,38,,
3053,8,24,46,6753,37,,
3057,4,27,49,6716,36,,
3061,3,24,49,6716,34,,
3065,5,21,45,6729,33,,
3069,6,27,51,6729,32,,
3073,-2,22,44,6749,32,,
3077,-10,14,40,6749,30,,
3081,-3,17,44,6752,28,,
3085,-3,18,42,6752,28,,
3089,-6,14,41,6778,26,,
3093,-3,17,41,6778,26,,
3097,6,26,53,6796,25,,
3101,6,27,51,6796,25,,
3105,5,26,51,6745,25,,
3109,13,26,52,6745,24,,
3113,13,28,53,6739,24,,
3117,7,23,50,6739,23,,
3121,7,28,56,6716,22,,
3125,7,34,58,6716,23,,
3129,0,27,52,6724,23,,
3133,-10,17,45,6724,22,,
3137,-6,19,45,6711,22,,
3141,-4,19,45,6711,22,,
3145,-13,11,37,6773,22,,
3149,-13,11,35,6773,23,,
3153,-3,15,42,6811,22,,
3157,0,26,53,6811,21,,
3161,1,22,45,6820,23,,
3165,7,29,55,6820,23,,
3169,12,33,56,6791,24,,
3173,15,34,59,6791,24,,
3177,11,32,55,6726,25,,
3181,10,36,59,6726,26,,
3185,9,34,58,6699,26,,
3189,3,28,53,6699,26,,
3193,-3,24,46,6682,27,,
3197,-7,25,47,6682,28,,
3201,-14,17,39,6754,29,,
3205,-13,17,36,6754,31,,
3209,-7,17,40,6801,31,,
3213,-8,21,41,6801,32,,
3217,-9,25,40,6835,36,,
3221,4,32,47,6835,39,,
3225,5,34,53,6820,39,,
3229,7,36,50,6820,42,,
3233,9,34,53,6753,42,,
3237,17,45,61,6753,43,,
3241,19,45,62,6751,44,,
3245,9,37,55,6751,44,,
3249,5,38,56,6670,44,,
3253,1,41,53,6670,47,,
3257,-3,34,48,6687,48,,
3261,-8,34,45,6687,51,,
3265,-16,24,36,6724,53,,
3269,-20,19,29,6724,55,,
3273,-16,28,37,6790,57,,
3277,-17,25,30,6790,61,,
3281,-21,20,23,6824,65,,
3285,-11,29,31,6824,69,,
3289,-5,33,38,6874,71,,
3293,4,40,38,6874,76,,
3297,7,45,43,6828,80,,
3301,7,49,45,6828,84,,
3305,10,49,44,6776,88,,
3309,6,51,43,6776,93,,
3313,0,43,37,6738,96,,
3317,-1,43,31,6738,101,,
3321,-3,44,32,6762,105,,
3325,-5,40,27,6762,109,,
3329,-16,38,27,6782,111,,
3333,-15,37,20,6782,116,,
3337,-10,44,23,6810,122,,
3341,-12,43,23,6810,126,,
3345,-8,41,22,6800,129,,
3349,0,52,26,6800,135,,
3353,5,45,25,6815,137,,
3357,7,51,30,6815,139,,
3361,9,57,33,6782,142,,
3365,6,51,30,6782,143,,
3369,1,54,27,6734,147,,
3373,-4,50,27,6734,148,,
3377,-2,51,32,6726,147,,
3381,-6,44,17,6726,150,,
3385,-4,47,21,6736,152,,
3389,-7,47,21,6736,154,,
3393,-5,45,19,6762,155,,
3397,-3,48,23,6762,156,,
