システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
5597,13,-100,-100,6633
5601,14,-100,-100,6633
5605,13,-100,-100,6633
5609,7,-100,-100,6633
5617,7,-100,-100,6633
5621,7,-100,-100,6633
5625,3,-100,-100,6633
5629,-2,-100,-100,6633
5637,-3,-100,-100,6633
5641,0,-100,-100,6633
5645,0,-100,-100,6633
5649,-6,-100,-100,6633
5657,-10,-100,-100,6633
5661,-12,-100,-100,6633
5665,-13,-100,-100,6633
5669,-13,-100,-100,6633
5677,-7,-100,-100,6625
5681,-7,-100,-100,6625
5685,-17,-100,-100,6633
5689,-13,-100,-100,6633
5697,-7,-100,-100,6633
5701,-7,-100,-100,6633
5705,-4,-100,-100,6633
5709,-4,-100,-100,6625
5717,0,-100,-100,6643
5721,2,-100,-100,6643
5733,7,-100,-100,6625
5737,3,-100,-100,6625
5745,6,-100,-100,6633
5749,6,-100,-100,6643
5753,7,-100,-100,6643
5757,7,-100,-100,6633
5765,13,-100,-100,6633
5769,12,-100,-100,6633
5773,14,-100,-100,6643
5777,14,-100,-100,6643
5785,14,-100,-100,6643
5789,14,-100,-100,6643
5793,10,-100,-100,6643
5797,14,-100,-100,6643
5805,7,-100,-100,6643
5809,10,-100,-100,6643
5813,5,-100,-100,6643
5817,7,-100,-100,6643
5825,2,-100,-100,6643
5829,2,-100,-100,6643
5833,-2,-100,-100,6643
5837,-2,-100,-100,6643
5845,-4,-100,-100,6643
5849,-6,-100,-100,6643
5853,-12,-100,-100,6643
5857,-10,-100,-100,6643
5865,-19,-100,-100,6643
5869,-13,-100,-100,6643
5873,-13,-100,-100,6643
5877,-20,-100,-100,6633
5885,-16,-100,-100,6653
5889,-13,-100,-100,6653
5893,-20,-100,-100,6643
5897,-20,-100,-100,6643
5905,-19,-100,-100,6643
5909,-21,-100,-100,6643
5913,-21,-100,-100,6643
5917,-17,-100,-100,6653
5925,-19,-100,-100,6633
5929,-21,-100,-100,6633
5933,-17,-100,-100,6643
5937,-21,-100,-100,6643
5945,-14,-100,-100,6643
5957,-17,-100,-100,6633
5961,-17,-100,-100,6633
5965,-20,-100,-100,6633
5973,-19,-100,-100,6643
5977,-24,-100,-100,6643
5981,-26,-100,-100,6633
5985,-29,-100,-100,6633
5993,-29,-100,-100,6633
5997,-30,-100,-100,6633
6001,-36,-100,-100,6633
6005,-43,-100,-100,6633
6013,-46,-100,-100,6633
6017,-47,-100,-100,6633
6021,-43,-100,-100,6633
6025,-47,-100,-100,6633
6033,-56,-100,-100,6633
6037,-53,-100,-100,6633
6041,-53,-100,-100,6633
6045,-56,-100,-100,6633
6053,-56,-100,-100,6633
6057,-57,-100,-100,6633
6061,-54,
